,x
1390,201862_s_at
1391,201863_at
1392,201864_at
1393,201865_x_at
1394,201866_s_at
1395,201867_s_at
1396,201868_s_at
1397,201869_s_at
1398,201870_at
1399,201871_s_at
1400,201872_s_at
1401,201873_s_at
1402,201874_at
1403,201875_s_at
1404,201876_at
1405,201877_s_at
1406,201878_at
1407,201879_at
1408,201880_at
1409,201881_s_at
1410,201882_x_at
1411,201883_s_at
1412,201884_at
1413,201885_s_at
1414,201886_at
1415,201887_at
1416,201888_s_at
1417,201889_at
1418,201890_at
1419,201891_s_at
1420,201892_s_at
1421,201893_x_at
1422,201894_s_at
1423,201895_at
1424,201896_s_at
1425,201897_s_at
1426,201898_s_at
1427,201899_s_at
1428,201900_s_at
1429,201901_s_at
1430,201902_s_at
1431,201903_at
1432,201904_s_at
1433,201905_s_at
1434,201906_s_at
1435,201907_x_at
1436,201908_at
1437,201909_at
1438,201910_at
1439,201911_s_at
1440,201912_s_at
1441,201913_s_at
1442,201914_s_at
1443,201915_at
1444,201916_s_at
1445,201917_s_at
1446,201918_at
1447,201919_at
1448,201920_at
1449,201921_at
1450,201922_at
1451,201923_at
1452,201924_at
1453,201925_s_at
1454,201926_s_at
1455,201927_s_at
1456,201928_at
1457,201929_s_at
1458,201930_at
1459,201931_at
1460,201932_at
1461,201933_at
1462,201934_at
1463,201935_s_at
1464,201936_s_at
1465,201937_s_at
1466,201938_at
1467,201939_at
1468,201940_at
1469,201941_at
1470,201942_s_at
1471,201943_s_at
1472,201944_at
1473,201945_at
1474,201946_s_at
1475,201947_s_at
1476,201948_at
1477,201949_x_at
1478,201950_x_at
1479,201951_at
1480,201952_at
1481,201953_at
1482,201954_at
1483,201955_at
1484,201956_s_at
1485,201957_at
1486,201958_s_at
1487,201959_s_at
1488,201960_s_at
1489,201961_s_at
1490,201962_s_at
1491,201963_at
1492,201964_at
1493,201965_s_at
1494,201966_at
1495,201967_at
1496,201968_s_at
1497,201969_at
1498,201970_s_at
1499,201971_s_at
1500,201972_at
1501,201973_s_at
1502,201974_s_at
1503,201975_at
1504,201976_s_at
1505,201977_s_at
1506,201978_s_at
1507,201979_s_at
1508,201980_s_at
1509,201981_at
1510,201982_s_at
1511,201983_s_at
1512,201984_s_at
1513,201985_at
1514,201986_at
1515,201987_at
1516,201988_s_at
1517,201989_s_at
1518,201990_s_at
1519,201991_s_at
1520,201992_s_at
1521,201993_x_at
1522,201994_at
1523,201995_at
1524,201996_s_at
1525,201997_s_at
1526,201998_at
1527,201999_s_at
1528,202000_at
1529,202001_s_at
1530,202002_at
1531,202003_s_at
1532,202004_x_at
1533,202005_at
1534,202006_at
1535,202007_at
1536,202008_s_at
1537,202009_at
1538,202010_s_at
1539,202011_at
1540,202012_s_at
1541,202013_s_at
1542,202014_at
1543,202015_x_at
1544,202016_at
1545,202017_at
1546,202018_s_at
1547,202019_s_at
1548,202020_s_at
1549,202021_x_at
1550,202022_at
1551,202023_at
1552,202024_at
1553,202025_x_at
1554,202026_at
1555,202027_at
1556,202028_s_at
1557,202029_x_at
1558,202030_at
1559,202031_s_at
1560,202032_s_at
1561,202033_s_at
1562,202034_x_at
1563,202035_s_at
1564,202036_s_at
1565,202037_s_at
1566,202038_at
1567,202039_at
1568,202040_s_at
1569,202041_s_at
1570,202042_at
1571,202043_s_at
1572,202044_at
1573,202045_s_at
1574,202046_s_at
1575,202047_s_at
1576,202048_s_at
1577,202049_s_at
1578,202050_s_at
1579,202051_s_at
1580,202052_s_at
1581,202053_s_at
1582,202054_s_at
1583,202055_at
1584,202056_at
1585,202057_at
1586,202058_s_at
